127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.323000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.067000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/images/background.jpg, HTTP/1.1, 200, 0.071000
127.0.0.1, 2017-03-06 10:42:19, GET, /OptimizerWebView/static/images/gplus-32.png, HTTP/1.1, 200, 0.081000
127.0.0.1, 2017-03-06 10:42:19, GET, /OptimizerWebView/static/images/twitter.png, HTTP/1.1, 200, 0.126000
127.0.0.1, 2017-03-06 10:43:25, GET, /OptimizerWebView/default/index, HTTP/1.1, 200, 0.114000
127.0.0.1, 2017-03-06 10:43:26, GET, /OptimizerWebView/static/images/favicon.ico, HTTP/1.1, 200, 0.021000
127.0.0.1, 2017-03-06 11:02:37, GET, /, HTTP/1.1, 200, 0.147000
127.0.0.1, 2017-03-06 11:03:27, GET, /, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-06 11:03:27, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-03-06 11:03:53, GET, /, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-03-06 11:03:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-06 11:04:17, GET, /, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-03-06 11:04:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-06 11:04:18, GET, /, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-03-06 11:04:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-03-06 11:04:19, GET, /, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-03-06 11:04:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-06 11:04:19, GET, /, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-06 11:04:19, GET, /, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-06 11:04:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-03-06 11:04:31, GET, /, HTTP/1.1, 200, 0.126000
127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI, HTTP/1.1, 200, 1.090000
127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.267000
127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI/static/css/calendar.css, HTTP/1.1, 200, 0.308000
127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI/static/js/jquery.js, HTTP/1.1, 200, 0.344000
127.0.0.1, 2017-03-06 11:05:18, GET, /OptimizerAPI/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.341000
